市区町村,サンプル値A,サンプル値B
上松町,113,183
上田市,126,154
下條村,139,125
下諏訪町,152,96
中川村,165,67
中野市,178,738
伊那市,191,709
佐久市,204,680
佐久穂町,217,651
信濃町,230,622
北相木村,243,593
千曲市,256,564
南木曽町,269,535
南牧村,282,506
南相木村,295,477
南箕輪村,308,448
原村,321,419
喬木村,334,390
坂城町,347,361
塩尻市,360,332
売木村,373,303
大桑村,386,274
大町市,399,245
大鹿村,412,216
天龍村,425,187
安曇野市,438,158
宮田村,451,129
富士見町,464,100
小川村,477,71
小布施町,490,742
小海町,503,713
小諸市,516,684
小谷村,529,655
山ノ内町,542,626
山形村,555,597
岡谷市,568,568
川上村,581,539
平谷村,594,510
御代田町,607,481
朝日村,620,452
木島平村,633,423
木曽町,646,394
木祖村,659,365
東御市,672,336
松川村,685,307
松川町,698,278
松本市,711,249
栄村,724,220
根羽村,737,191
池田町,750,162
泰阜村,763,133
王滝村,776,104
生坂村,789,75
白馬村,802,746
立科町,815,717
筑北村,828,688
箕輪町,841,659
茅野市,854,630
諏訪市,867,601
豊丘村,880,572
軽井沢町,893,543
辰野町,906,514
野沢温泉村,919,485
長和町,932,456
長野市,945,427
阿南町,958,398
阿智村,971,369
青木村,984,340
須坂市,997,311
飯山市,110,282
飯島町,123,253
飯田市,136,224
飯綱町,149,195
駒ヶ根市,162,166
高山村,175,137
高森町,188,108
麻績村,201,79
