市区町村,サンプル値A,サンプル値B
かすみがうら市,113,626
つくばみらい市,126,597
つくば市,139,568
ひたちなか市,152,539
下妻市,165,510
五霞町,178,481
八千代町,191,452
利根町,204,423
北茨城市,217,394
取手市,230,365
古河市,243,336
土浦市,256,307
坂東市,269,278
城里町,282,249
境町,295,220
大子町,308,191
大洗町,321,162
守谷市,334,133
小美玉市,347,104
常総市,360,75
常陸大宮市,373,746
常陸太田市,386,717
日立市,399,688
東海村,412,659
桜川市,425,630
水戸市,438,601
河内町,451,572
潮来市,464,543
牛久市,477,514
石岡市,490,485
神栖市,503,456
稲敷市,516,427
笠間市,529,398
筑西市,542,369
結城市,555,340
美浦村,568,311
茨城町,581,282
行方市,594,253
那珂市,607,224
鉾田市,620,195
阿見町,633,166
高萩市,646,137
鹿嶋市,659,108
龍ケ崎市,672,79
